route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
020-151,1403-Collier-Weekday-22,7560084-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155123,0200033
020-151,1403-Collier-Weekday-22,7560085-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155126,0200033
020-151,1403-Collier-Weekday-22,7560086-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155129,0200033
020-151,1403-Collier-Weekday-22,7560087-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155186,0200033
020-151,1403-Collier-Weekday-22,7560088-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155124,0200033
020-151,1403-Collier-Weekday-22,7560089-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155126,0200033
020-151,1403-Collier-Weekday-22,7560090-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155129,0200033
020-151,1403-Collier-Weekday-22,7560091-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155276,0200033
020-151,1403-Collier-Weekday-22,7560092-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155132,0200033
020-151,1403-Collier-Weekday-22,7560093-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155210,0200033
020-151,1403-Collier-Weekday-22,7560094-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155191,0200033
020-151,1403-Collier-Weekday-22,7560095-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155212,0200033
020-151,1403-Collier-Weekday-22,7560096-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155244,0200033
020-151,1403-Collier-Weekday-22,7560097-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155189,0200033
020-151,1403-Collier-Weekday-22,7560098-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155265,0200033
020-151,1403-Collier-Weekday-22,7560099-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155284,0200033
020-151,1403-Collier-Weekday-22,7560100-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155214,0200033
020-151,1403-Collier-Weekday-22,7560101-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155134,0200033
020-151,1403-Collier-Weekday-22,7560102-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155213,0200033
020-151,1403-Collier-Weekday-22,7560103-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155133,0200033
020-151,1403-Collier-Weekday-22,7560104-1403-Collier-Weekday-22,Inbound-KENNEDY TO DOWNTOWN,1,1155307,0200033
020-151,1403-Collier-Weekday-22,7560105-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155123,0200034
020-151,1403-Collier-Weekday-22,7560106-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155126,0200034
020-151,1403-Collier-Weekday-22,7560107-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155129,0200034
020-151,1403-Collier-Weekday-22,7560108-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155186,0200034
020-151,1403-Collier-Weekday-22,7560109-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155124,0200034
020-151,1403-Collier-Weekday-22,7560110-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155126,0200034
020-151,1403-Collier-Weekday-22,7560111-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155129,0200034
020-151,1403-Collier-Weekday-22,7560112-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155276,0200034
020-151,1403-Collier-Weekday-22,7560113-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155132,0200034
020-151,1403-Collier-Weekday-22,7560114-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155210,0200034
020-151,1403-Collier-Weekday-22,7560115-1403-Collier-Weekday-22,Outbound-KENNEDY TO HERBST ROAD,0,1155191,0200034
